브랜드명,발송여부
Alexander Wang,금지
Fendi芬迪,금지
Olympus 奧林巴斯,금지
A/X Armani Exchange,금지
FILA 斐樂,금지
Omega(歐米茄),금지
ABERCROMBIE&FITCH(A&F),금지
Franck Muller,금지
P90X(健身帶),금지
Acer,금지
GHD 直發器,금지
Panasonic,금지
Adidas,금지
Gillette    吉列公司,금지
Pandora  潘多拉,금지
Apple,금지
GIORGIO ARMANI,금지
Philips   飛利浦,금지
Armani,금지
Gianmarco Lorenzi,금지
Piaget(伯爵),금지
Audemars Piguet,금지
Givenchy,금지
Pierre Cardin(皮爾卡丹),금지
AVON FARAWAY(雅芳),금지
Gucci(古馳),금지
Playboy,금지
Balenciaga,금지
Guess 美國服裝品牌,금지
Polo Jeana Co,금지
Bally,금지
Hello Kitty,금지
Pierre Cardin皮爾卡丹,금지
Benz(賓士),금지
Hermes,금지
Polo Sport,금지
Blackberry(黑莓),금지
HITACHI   日立,금지
Polo/Ralph Lauren,금지
BMW(Bayerische Motoren Werke AG),금지
HONAG,금지
Patek Philippe百達翡麗,금지
Boss(老闆牌),금지
HONDA,금지
Power Balance(PB),금지
Breitling,금지
HP  惠普,금지
Prada,금지
Burberry(博柏利),금지
IBM,금지
PUMA 彪馬,금지
Bvlgari,금지
ICE WATCH  比利時,금지
R4(任天堂 )讀卡器,금지
celine,금지
Intel 英特爾,금지
REEBOK 銳步,금지
Calvin Klein(CK),금지
JEEP,금지
Rolex(勞力士),금지
Canon 佳能,금지
JIMMY CHOO,금지
SAMSUNG  韓國三星,금지
clae,금지
Juicy Couture,금지
Sandisk  閃迪,금지
Cartier(卡地亞),금지
karen millen 卡倫米倫,금지
Stella McCart斯特拉/史蒂娜,금지
Casio(卡西歐),금지
Kingston     金士頓,금지
SANYO 三洋,금지
Chanel(香奈兒),금지
Kodak柯達,금지
Seiko(精工),금지
CHELSEA (聯賽品牌),금지
LACOSTE      (鱷魚牌),금지
Sharp 夏普,금지
CHI 直發器,금지
Lancome Parfums,금지
Siemens 西門子,금지
Christian Louboutin,금지
LEO(裏奧),금지
SONY索尼,금지
Citizen 西鐵城,금지
Longchamp,금지
Swarovski施華洛世奇,금지
COACH,금지
Longines(浪琴),금지
TIFFANY & CO.蒂芙妮,금지
Converse匡威,금지
Louis Vuitton(LV),금지
TISSOT,금지
D&G,금지
M.A.C,금지
Toshiba,금지
Dell,금지
Marlboro  萬寶路,금지
TaylorMade,금지
DIESEL,금지
MICHAEL KORS(MK),금지
Toyota,금지
Dior,금지
Mitsubishi 三菱,금지
True Religion真實信仰,금지
Disney  (迪士尼),금지
mont blanc 萬寶龍,금지
TOWS,금지
dsquared2,금지
MBT,금지
FURLA,금지
Dunhill,금지
mcm,금지
Tory Burch托裏·伯奇,금지
durex,금지
MONCLER(蒙口),금지
UGG 德克斯 (鞋類),금지
Emporio Armani,금지
MONSTER 耳機,금지
Vacheron Constantin,금지
Epson 愛普生,금지
Motorola  摩托羅拉,금지
Versace,금지
Ericsson 索尼愛立信,금지
Mulberry 英國的,금지
VOLVO,금지
