무게_kg,운임_KRW
0.1,7200
0.2,8900
0.3,10600
0.4,12600
0.5,14800
0.6,16300
0.7,17900
0.8,19400
0.9,20900
1.0,21900
1.1,22900
1.2,24300
1.3,25700
1.4,27800
1.5,29200
1.6,30600
1.7,32100
1.8,33500
1.9,35600
2.0,37000
2.5,42100
3.0,49400
3.5,56600
4.0,63700
4.5,70900
5.0,79600
5.5,86600
6.0,93800
6.5,100900
7.0,111100
7.5,118000
8.0,125000
8.5,132000
9.0,138900
9.5,152000
10.0,160000
10.5,166900
11.0,173800
11.5,212700
12.0,220200
12.5,227700
13.0,235200
13.5,242700
14.0,250200
14.5,257700
15.0,266200
15.5,273700
16.0,296700
16.5,305200
17.0,314100
17.5,322400
18.0,331100
18.5,344000
19.0,353000
19.5,361500
20.0,371600
20.5,379600
21.0,387800
21.5,395800
22.0,402700
22.5,409300
23.0,415800
23.5,422400
24.0,429000
24.5,435600
25.0,442900
25.5,450800
26.0,458400
26.5,466000
27.0,473600
27.5,480900
28.0,488300
28.5,495700
29.0,503300
29.5,512000
30.0,519300
