질문,답변,카테고리
EMS 배송조회는 어디서 하나요?,"ems.epost.go.kr에서 운송장 번호 13자리를 입력하여 조회하거나, 우체국 고객센터(1588-1300)에 문의하세요. EMS프리미엄은 2026.4.1부터 FedEx 18자리 운송장으로 www.fedex.com에서 조회 가능합니다.",배송조회
EMS와 EMS프리미엄의 차이는?,EMS는 전 세계 우체국 네트워크로 약 101개국 발송. EMS프리미엄은 2026.4.1부터 FedEx와 제휴하여 200여개국 Door-to-Door 서비스 (기존 UPS에서 변경). 배송 속도·요금은 기존과 동일하며 운송장이 FedEx 18자리로 바뀝니다.,서비스
EMS 서류와 비서류의 차이는?,"서류(EE로 시작): 통관불요, 계약서·카탈로그 등 문서류. 비서류(EM으로 시작): 통관필요, 상품 등 물품. 비서류는 세관신고서 작성 필수.",서비스
EMS로 보낼 수 없는 물품은?,"리튬배터리 포함 전자기기(스마트폰·노트북·전자담배 등), 의약품, 알코올, 가연성 물질, 탄약, 마약류는 절대 발송 불가. 자세한 내용은 발송제한 품목표 참조.",발송제한
배터리 제품은 모두 발송이 안 되나요?,AA/AAA 비충전 건전지는 발송 가능. 리튬이온·리튬메탈 등 충전식 배터리 및 이를 포함한 모든 전자기기는 종류·용량에 관계없이 발송 불가. 니켈류 배터리는 MSDS 등 서류 첨부 시 가능.,발송제한
EMS 분실 시 어떻게 하나요?,EMS 발송일로부터 4개월 이내에 행방조사를 청구하세요. 인터넷(ems.epost.go.kr) 또는 우체국 창구 방문으로 서면 청구 가능. 행방조사 후 분실 확인 시 손해배상 청구.,분실/손해배상
EMS 손해배상 금액은 얼마인가요?,"비서류 분실 시 70,000원 + 1kg당 7,870원 합산금액 범위 내 실손해액 + 우편요금. 서류 분실 시 52,500원 범위 내 실손해액 + 우편요금. 보험 가입 시 보험가액 범위 내 실손해액.",분실/손해배상
EMS 파손 시 처리는?,받는 분이 이의 없이 수취하면 배상 불가. 파손 확인 시 즉시 배달 우체국에 신고하고 내용물·포장 보관. EMS프리미엄은 수령일 14일 이내 FedEx 고객센터(02-3700-5199) 파손조사 신청.,분실/손해배상
EMS 이용계약은 어떻게 하나요?,"월 50만 원 초과 발송 시 가까운 우체국 마케팅실 방문 또는 전화 상담 후 계약 체결. 월 이용금액에 따라 최고 18% 요금할인, 방문접수 우선 제공, 후납 서비스 혜택.",계약
EMS 요금 할인은?,EMS 이용계약 시 월 이용금액 기준 최고 18% 할인. 수시국제특급은 1회당 이용금액 기준 적용. 18% 이상 감액은 지방우정청장 승인 필요.,요금
EMS 부피무게 계산은?,"가로(cm) × 세로(cm) × 높이(cm) ÷ 6,000 = 부피중량(kg). 실중량과 부피중량 중 더 무거운 쪽으로 요금 적용.",요금
통관절차대행수수료란?,우편물을 세관 통관검사에 회부할 때 소요되는 인적·물적 비용. 관세가 부과된 국제우편물에 징수. 국제우편규정 제32조에 의거.,통관
한국으로 들어오는 EMS 통관기준은?,"과세가격 150달러 이하: 면세. 150~1,000달러: 간이통관(10~25% 간이세율). 1,000달러 초과: 정식통관. 과세 시 등기우편 또는 카카오톡 알림톡으로 통관 고지서 발송.",통관
EMS 접수가능국가는?,EMS로 약 101개국 발송 가능(2020년 12월 기준). 나머지 국가는 EMS프리미엄으로 발송 가능. 전쟁·분쟁 등으로 접수중지 국가는 홈페이지 공지 확인.,서비스
서면 행방조사는 어떻게 청구하나요?,"가까운 우체국 창구를 직접 방문하여 행방조사 청구서를 작성·제출. 접수한 우체국 방문 권장. 접수증 지참 필요. 청구기한: EMS 4개월, 국제소포·등기 6개월 이내.",배송조회
EMS 크기 제한은?,최대 길이: 150cm. 길이와 둘레의 합: 300cm 이하. EMS프리미엄: 길이와 둘레의 합 (가로+세로)×2+높이 ≤ 400cm. 무게 30kg 초과 불가.,포장/규격
EMS 발송 취소는 어떻게 하나요?,발송 전: 인터넷우체국 예약조회/취소 메뉴에서 취소 가능. 발송 후: 접수 우체국에 반환 요청. 반환은 국내우편으로 처리되며 추가 요금 발생할 수 있음.,접수
EMS 세관신고는 어떻게 하나요?,"내용품명, 수량, 단가, 총액을 정확하게 기재. 2024년부터 전자송장(EAD) 필수(수기송장 불가). 손해배상 시 세관신고 가격 기준으로 실손해액 산정하므로 정확하게 신고 필수.",통관
