카테고리,항목,내용
서비스명,EMS (국제특급우편),전 세계 우체국 간 특별 우편운송망을 통해 가장 빠르고 안전하게 배달하는 국제특급우편 서비스
서비스명,EMS 프리미엄,UPS와 제휴하여 전 세계 200여 개국으로 Door-to-Door 서비스 제공
특징,서류,"통관불요(EE로 시작). 서울 오전접수 시 일본·홍콩 2~3일, 기타 3~5일 배달"
특징,비서류,"통관필요(EM으로 시작). 일반 소포물품, 통관 소요일 별도"
특징,운송장번호 구분,EMS 서류: EE로 시작 / EMS 비서류: EM으로 시작 / EMS프리미엄: UP 또는 UE로 시작
접수방법,스마트접수,인터넷 사전입력 후 우체국 방문. 24시간 연중무휴. 1회 300통까지. 회원/비회원 모두 가능
접수방법,창구접수,우체국 방문 직접접수
접수방법,방문접수,계약고객 우선 제공. EMS만 가능(프리미엄·소포·소형포장물은 창구접수)
이용가능서비스,스마트접수 이용가능,"국제특급(EMS), EMS프리미엄, 국제소포, 소형포장물(등기)"
고객센터,전화,"1588-1300 (발신자 부담, 평일)"
고객센터,이메일,help@posa.or.kr
고객센터,EMS 프리미엄 고객센터,1588-5027 (UPS)
추적,인터넷 행방조회,ems.epost.go.kr에서 운송장 13자리 입력 조회
추적,EMS 프리미엄 추적,www.ups.com 또는 emspremium.com에서 UP/UE 번호로 조회
통관,한국 면세기준,"과세가격 150달러 이하 면세. 150~1,000달러 간이통관(10~25% 간이세율). 1,000달러 초과 정식통관"
통관,통관절차대행수수료,관세가 부과된 국제우편물에 통관절차 대행 수수료 징수(국제우편규정 제32조)
