"구분","품목","조건_및_비고"
"절대 금지","마약류","국제조약 및 협약에 의해 절대 금지. 예외 없음"
"절대 금지","무기·총기류","국제조약 및 협약에 의해 절대 금지. 예외 없음"
"절대 금지","폭발물·화약","국제조약 및 협약에 의해 절대 금지. 예외 없음"
"절대 금지","위조화폐·위조품","국제조약 및 협약에 의해 절대 금지. 예외 없음"
"절대 금지","외설물·음란물","국제조약 및 협약에 의해 절대 금지. 예외 없음"
"절대 금지","CITES 규제 품목","멸종위기동식물 관련 품목. 국제협약 근거 절대 금지"
"절대 금지","현금·수표","현금, 수표, 어음 등 화폐성 증권류 발송 불가"
"절대 금지","귀금속·고가 예술품","금·은·보석류, 미술품 등 고가 예술품"
"절대 금지","냉동·냉장 식품","온도 민감 화물. SF Express 국제특송 서비스 이용 불가"
"절대 금지","일부 의약품·건강기능식품","수입국 허가 기준 및 목적지별 상이. 사전 확인 필수"
"조건부 가능","배터리 내장 제품","MSDS 첨부 필수. 사전 SF 승인 요청. 리튬이온/폴리머 배터리 내장 전자기기 해당"
"조건부 가능","리튬배터리 단품","DG 포장(위험물 포장) 적용 필수. MSDS 첨부. 사전 SF 승인 필수"
"조건부 가능","향수","MSDS 첨부 + SF 사전 승인 필수. 알코올 함량 기준 적용"
"조건부 가능","알코올 함유 화장품","MSDS 첨부 + SF 사전 승인 필수. 에탄올 등 알코올 성분 포함 제품"
"조건부 가능","휘발성 액체류 화장품","인화점 기준 확인 필요. MSDS 필수. 사전 협의 후 진행"
"조건부 가능","보조배터리 (Power Bank)","DG 포장 적용 및 MSDS 첨부. 용량 제한 있음. 사전 승인 필수"
"주의 품목","식품 (가공품)","목적국 수입 허가 기준 확인 필요. 성분표 동봉 권장"
"주의 품목","화장품 (알코올 무함유)","일반 화장품은 가능하나 성분표 동봉 권장"
"주의 품목","의류·잡화","일반 가능. 브랜드 위조품 불가"
"주의 품목","전자기기 (배터리 미포함)","배터리 미포함 조건으로 발송 가능"
"주의 사항","예외 발송 후 책임","세관 등 통과 후라도 약관·근거 서류에 따라 사후 배상 비용 등 책임 발생 가능"
"주의 사항","허위 신고","발송인 허위 신고 시 면책. 실제 내용물과 다른 경우 통관 지연·압수 및 배상 불가"
