우편번호,State,구역
00601,PR,7
00602,PR,7
00603,PR,7
00604,PR,7
00605,PR,7
00606,PR,7
00610,PR,7
00611,PR,7
00612,PR,7
00613,PR,7
00614,PR,7
00616,PR,7
00617,PR,7
00622,PR,7
00623,PR,7
00624,PR,7
00627,PR,7
00631,PR,7
00636,PR,7
00637,PR,7
00638,PR,7
00641,PR,7
00646,PR,7
00647,PR,7
00650,PR,7
00652,PR,7
00653,PR,7
00656,PR,7
00659,PR,7
00660,PR,7
00662,PR,7
00664,PR,7
00667,PR,7
00669,PR,7
00670,PR,7
00674,PR,7
00676,PR,7
00677,PR,7
00678,PR,7
00680,PR,7
00681,PR,7
00682,PR,7
00683,PR,7
00685,PR,7
00687,PR,7
00688,PR,7
00690,PR,7
00692,PR,7
00693,PR,7
00694,PR,7
00698,PR,7
00703,PR,7
00704,PR,7
00705,PR,7
00707,PR,7
00714,PR,7
00715,PR,7
00716,PR,7
00717,PR,7
00718,PR,7
00719,PR,7
00720,PR,7
00721,PR,7
00723,PR,7
00725,PR,7
00726,PR,7
00727,PR,7
00728,PR,7
00729,PR,7
00730,PR,7
00731,PR,7
00732,PR,7
00733,PR,7
00734,PR,7
00735,PR,7
00736,PR,7
00737,PR,7
00738,PR,7
00739,PR,7
00740,PR,7
00741,PR,7
00742,PR,7
00744,PR,7
00745,PR,7
00751,PR,7
00754,PR,7
00757,PR,7
00765,PR,7
00766,PR,7
00767,PR,7
00769,PR,7
00771,PR,7
00772,PR,7
00773,PR,7
00775,PR,7
00777,PR,7
00778,PR,7
00780,PR,7
00782,PR,7
00783,PR,7
00784,PR,7
00785,PR,7
00786,PR,7
00791,PR,7
00792,PR,7
00794,PR,7
00795,PR,7
00801,VI,7
00802,VI,7
00803,VI,7
00804,VI,7
00805,VI,7
00820,VI,7
00821,VI,7
00822,VI,7
00823,VI,7
00824,VI,7
00830,VI,7
00831,VI,7
00840,VI,7
00841,VI,7
00850,VI,7
00851,VI,7
00901,PR,7
00902,PR,7
00905,PR,7
00906,PR,7
00907,PR,7
00908,PR,7
00909,PR,7
00910,PR,7
00911,PR,7
00912,PR,7
00913,PR,7
00914,PR,7
00915,PR,7
00916,PR,7
00917,PR,7
00918,PR,7
00919,PR,7
00920,PR,7
00921,PR,7
00922,PR,7
00923,PR,7
00924,PR,7
00925,PR,7
00926,PR,7
00927,PR,7
00928,PR,7
00929,PR,7
00930,PR,7
00931,PR,7
00933,PR,7
00934,PR,7
00935,PR,7
00936,PR,7
00937,PR,7
00939,PR,7
00940,PR,7
00949,PR,7
00950,PR,7
00951,PR,7
00952,PR,7
00953,PR,7
00954,PR,7
00955,PR,7
00956,PR,7
00957,PR,7
00958,PR,7
00959,PR,7
00960,PR,7
00961,PR,7
00962,PR,7
00963,PR,7
00965,PR,7
00966,PR,7
00968,PR,7
00969,PR,7
