서비스,국가,최소사이즈,정상발송,추가30000원,추가60000원
YunExpress Korea Standard Rate_Normal (& Battery),미국,10*15cm,55*40*35cm,68*43*43cm,68*43*43cm 이상
YunExpress Korea Standard Rate_Normal (& Battery),호주,10*15cm,59*49*39cm,"L+W+H <140cm, 최장변≤105cm",
YunExpress Korea Standard Rate_Normal (& Battery),싱가포르,10*15cm,60*40*35cm,"L+W+H <300cm, 최장변≤150cm",
YunExpress Korea Standard Rate_Normal (& Battery),캐나다,10*15cm,"최장변 ≤100cm, 두 번째 변 ≤ 76cm, L + (W + H) × 2 ≤ 250cm",,
YunExpress Korea Standard Rate_Normal (& Battery),맥시코,10*15cm,"L+W+H ≤ 160cm, 최장변 ≤ 120cm",,
YunExpress Korea Standard Rate_Normal (& Battery),브라질,10*15cm,10cm≤최장변≤100cm,,
YunExpress Korea Standard Rate_Normal (& Battery),노르웨이,10*15cm,"L+W+H ≤90, 최장변≤45cm",,
YunExpress Korea Standard Rate_Normal (& Battery),칠레,10*15cm,"L+W+H ≤ 160cm, 최장변 ≤ 60cm",,
YunExpress Korea Standard Rate_Normal (& Battery),이스라엘,10*15cm,45*40*40cm,,
YunExpress Korea Standard Rate_Normal (& Battery),일본,10*20cm,59*49*39cm,,
YunExpress Korea Standard Rate_Normal (& Battery),콜롬비아,10*15cm,"L+W+H ≤150, 최장변≤50cm",,
YunExpress Korea Standard Rate_Normal (& Battery),뉴질랜드,10*15cm,60*50*40cm,,
YunExpress Korea Standard Rate_Normal (& Battery),사우디아라비아,10*15cm,"120*50*50cm, 최장변 ≤ 120cm",,
YunExpress Korea Standard Rate_Normal (& Battery),아랍에미리트,10*15cm,"120*50*50cm, 최장변 ≤ 120cm",,
YunExpress Korea Standard Rate_Normal (& Battery),홍콩,10*15cm,최장변 ≤ 150cm，V ≤ 2m³,,
YunExpress Korea Standard Rate_Normal (& Battery),마카오,10*15cm,최장변 ≤ 150cm，V ≤ 2m³,,
YunExpress Korea Standard Rate_Normal (& Battery),터키,10*15cm,"L+W+H ≤ 220cm, 최장변 ≤ 150cm",,
YunExpress Korea Standard Rate_Normal (& Battery),스위스,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),프랑스,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),에스토니아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),라트비아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),리투아니아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),스웨덴,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),영국,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),독일,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),이탈리아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),스페인,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),네덜란드,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),벨기에,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),아일랜드,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),불가리아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),크로아티아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),체코,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),핀란드,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),헝가리,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),몰타,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),폴란드,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),포르투갈,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),루마니아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),슬로바키아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),슬로베니아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),오스트리아,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),덴마크,10*15cm,60*40*35cm,,
YunExpress Korea Standard Rate_Normal (& Battery),그리스,10*15cm,60*40*35cm,,
