무게_g,국가코드,운임_KRW
100,GB,4100
100,DE,6900
100,FR,5800
100,IT,6700
100,ES,5700
100,NL,6900
100,PL,4200
100,PT,6600
100,IE,5600
100,FI,6900
100,SE,6100
100,CH,10900
100,LU,7500
100,AT,6900
100,BE,6900
100,CZ,5100
100,HU,4900
100,DK,6900
100,NO,7300
100,GR,4400
100,MT,9900
100,BG,5400
100,LT,3800
100,LV,5300
100,RO,5800
100,SI,6000
100,SK,5900
100,HR,6700
100,EE,5600
100,CY,6100
100,IL,7300
100,CA,5400
100,MX,5200
100,BR,9100
100,CL,8900
100,CO,9600
100,SG,4600
100,AU,6500
100,NZ,4500
100,JP,5300
100,HK,5200
100,MO,5500
100,TR,9700
100,SA,13100
100,AE,7200
200,GB,5300
200,DE,7500
200,FR,6400
200,IT,7400
200,ES,6500
200,NL,7900
200,PL,5500
200,PT,7800
200,IE,7000
200,FI,7900
200,SE,7000
200,CH,12400
200,LU,8700
200,AT,8100
200,BE,7900
200,CZ,6300
200,HU,6400
200,DK,7900
200,NO,8100
200,GR,5600
200,MT,11800
200,BG,6100
200,LT,5300
200,LV,6800
200,RO,7000
200,SI,7100
200,SK,7500
200,HR,7900
200,EE,7100
200,CY,8000
200,IL,8900
200,CA,7200
200,MX,7700
200,BR,10800
200,CL,9700
200,CO,10400
200,SG,5200
200,AU,7100
200,NZ,5900
200,JP,6200
200,HK,5300
200,MO,5600
200,TR,12400
200,SA,14600
200,AE,8200
300,GB,6300
300,DE,8300
300,FR,7400
300,IT,8200
300,ES,7700
300,NL,8700
300,PL,6900
300,PT,9500
300,IE,8400
300,FI,9300
300,SE,8000
300,CH,13600
300,LU,9900
300,AT,9600
300,BE,9300
300,CZ,7700
300,HU,7800
300,DK,8900
300,NO,9000
300,GR,7000
300,MT,13600
300,BG,6800
300,LT,6700
300,LV,8200
300,RO,8200
300,SI,8300
300,SK,9100
300,HR,9100
300,EE,8500
300,CY,9900
300,IL,10400
300,CA,8600
300,MX,10200
300,BR,12900
300,CL,10300
300,CO,11600
300,SG,5800
300,AU,8200
300,NZ,6900
300,JP,6700
300,HK,5500
300,MO,5700
300,TR,12700
300,SA,16200
300,AE,9200
400,GB,7400
400,DE,9100
400,FR,8500
400,IT,9100
400,ES,8900
400,NL,9500
400,PL,8300
400,PT,10900
400,IE,9900
400,FI,10700
400,SE,9100
400,CH,14800
400,LU,11300
400,AT,11000
400,BE,10700
400,CZ,9200
400,HU,9300
400,DK,10200
400,NO,10400
400,GR,8500
400,MT,15500
400,BG,7900
400,LT,8100
400,LV,9700
400,RO,9400
400,SI,9500
400,SK,10700
400,HR,10300
400,EE,10000
400,CY,11900
400,IL,12000
400,CA,9800
400,MX,12800
400,BR,14100
400,CL,11300
400,CO,12700
400,SG,6400
400,AU,9400
400,NZ,8000
400,JP,7200
400,HK,5600
400,MO,5800
400,TR,15100
400,SA,17700
400,AE,10200
500,GB,8300
500,DE,10000
500,FR,9300
500,IT,9900
500,ES,10200
500,NL,11100
500,PL,9700
500,PT,11900
500,IE,11300
500,FI,12100
500,SE,10200
500,CH,16300
500,LU,12700
500,AT,12500
500,BE,12100
500,CZ,10700
500,HU,10700
500,DK,11400
500,NO,11800
500,GR,9900
500,MT,17400
500,BG,8900
500,LT,9600
500,LV,11200
500,RO,10600
500,SI,10700
500,SK,12200
500,HR,11500
500,EE,11500
500,CY,13800
500,IL,13500
500,CA,11500
500,MX,15300
500,BR,15800
500,CL,12400
500,CO,14200
500,SG,7100
500,AU,10500
500,NZ,9200
500,JP,7700
500,HK,5700
500,MO,5900
500,TR,17500
500,SA,19200
500,AE,11100
600,GB,9800
600,DE,10800
600,FR,10700
600,IT,11000
600,ES,11300
600,NL,12200
600,PL,11100
600,PT,12800
600,IE,12700
600,FI,13600
600,SE,11400
600,CH,17700
600,LU,14500
600,AT,13900
600,BE,13900
600,CZ,12100
600,HU,12200
600,DK,12600
600,NO,13600
600,GR,11400
600,MT,19200
600,BG,9900
600,LT,11000
600,LV,12700
600,RO,11800
600,SI,12000
600,SK,13800
600,HR,12700
600,EE,12900
600,CY,15800
600,IL,15500
600,CA,13000
600,MX,18000
600,BR,18300
600,CL,15900
600,CO,16800
600,SG,8400
600,AU,12400
600,NZ,10400
600,JP,8200
600,HK,5800
600,MO,6000
600,TR,19900
600,SA,20800
600,AE,12100
700,GB,10900
700,DE,11600
700,FR,11400
700,IT,11800
700,ES,12200
700,NL,13100
700,PL,13100
700,PT,14200
700,IE,14100
700,FI,15000
700,SE,12500
700,CH,19100
700,LU,15900
700,AT,15400
700,BE,15300
700,CZ,13600
700,HU,13600
700,DK,13900
700,NO,14900
700,GR,12800
700,MT,21100
700,BG,10900
700,LT,12400
700,LV,14100
700,RO,12900
700,SI,13200
700,SK,15400
700,HR,13900
700,EE,14400
700,CY,17700
700,IL,17100
700,CA,14300
700,MX,20600
700,BR,20000
700,CL,17500
700,CO,18200
700,SG,9000
700,AU,13600
700,NZ,11600
700,JP,8700
700,HK,5900
700,MO,6200
700,TR,22400
700,SA,22300
700,AE,13100
800,GB,11800
800,DE,12400
800,FR,12700
800,IT,12700
800,ES,13200
800,NL,13800
800,PL,14500
800,PT,15600
800,IE,15600
800,FI,16400
800,SE,13600
800,CH,20600
800,LU,17400
800,AT,16800
800,BE,16800
800,CZ,15000
800,HU,15100
800,DK,14900
800,NO,16300
800,GR,14200
800,MT,23000
800,BG,12000
800,LT,13900
800,LV,15600
800,RO,14100
800,SI,14400
800,SK,17000
800,HR,15100
800,EE,15800
800,CY,19600
800,IL,18600
800,CA,15600
800,MX,23100
800,BR,21600
800,CL,19200
800,CO,20100
800,SG,9700
800,AU,14700
800,NZ,12700
800,JP,9200
800,HK,6000
800,MO,6300
800,TR,24800
800,SA,23900
800,AE,14100
900,GB,12800
900,DE,13200
900,FR,13400
900,IT,13900
900,ES,13600
900,NL,14800
900,PL,15900
900,PT,17000
900,IE,17000
900,FI,17900
900,SE,14700
900,CH,22000
900,LU,18800
900,AT,18300
900,BE,18200
900,CZ,16500
