무게_kg,3구역_USD,4구역_USD,5구역_USD,7구역_USD,8구역_USD,9구역_USD
0.05,2.0861,2.2148,2.3006,2.5294,2.7582,2.7582
0.1,2.0861,2.2148,2.3006,2.5294,2.7582,2.7582
0.15,2.701,2.7868,2.8583,3.0156,3.2015,3.2015
0.2,2.701,2.7868,2.8583,3.0156,3.2015,3.2015
0.25,3.6305,3.7306,3.8307,4.2454,4.4742,4.4742
0.3,3.6305,3.7306,3.8307,4.2454,4.4742,4.4742
0.35,5.4323,5.5324,5.7469,6.2903,6.5477,6.5477
0.4,5.4323,5.5324,5.7469,6.2903,6.5477,6.5477
0.45,5.4323,5.5324,5.7469,6.2903,6.5477,6.5477
0.5,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.55,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.6,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.65,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.7,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.75,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.8,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.85,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.9,7.7918,8.0778,8.7928,11.1094,11.6957,11.6957
0.95,8.6212,9.1074,10.0798,12.8397,13.9122,13.9122
1.0,8.6212,9.1074,10.0798,12.8397,13.9122,13.9122
1.1,8.6212,9.1074,10.0798,12.8397,13.9122,13.9122
1.2,8.6212,9.1074,10.0798,12.8397,13.9122,13.9122
1.3,8.6212,9.1074,10.0798,12.8397,13.9122,13.9122
1.4,9.1646,9.8081,10.9378,13.998,15.3994,15.3994
1.5,9.1646,9.8081,10.9378,13.998,15.3994,15.3994
1.6,9.1646,9.8081,10.9378,13.998,15.3994,15.3994
1.7,9.1646,9.8081,10.9378,13.998,15.3994,15.3994
1.8,9.1646,9.8081,10.9378,13.998,15.3994,15.3994
1.9,9.5793,10.3229,11.7243,15.0419,16.7579,16.7579
2.0,9.5793,10.3229,11.7243,15.0419,16.7579,16.7579
2.1,9.5793,10.3229,11.7243,15.0419,16.7579,16.7579
2.2,9.5793,10.3229,11.7243,15.0419,16.7579,16.7579
2.3,9.994,10.8377,12.5108,16.1001,18.1164,18.1164
2.4,9.994,10.8377,12.5108,16.1001,18.1164,18.1164
2.5,9.994,10.8377,12.5108,16.1001,18.1164,18.1164
2.6,9.994,10.8377,12.5108,16.1001,18.1164,18.1164
2.7,9.994,10.8377,12.5108,16.1001,18.1164,18.1164
2.8,10.566,11.5527,13.3831,17.3299,19.6608,19.6608
2.9,10.566,11.5527,13.3831,17.3299,19.6608,19.6608
3.0,10.566,11.5527,13.3831,17.3299,19.6608,19.6608
3.1,10.566,11.5527,13.3831,17.3299,19.6608,19.6608
3.2,11.1952,12.2963,14.2554,18.5597,21.2052,21.2052
3.3,11.1952,12.2963,14.2554,18.5597,21.2052,21.2052
3.4,11.1952,12.2963,14.2554,18.5597,21.2052,21.2052
3.5,11.1952,12.2963,14.2554,18.5597,21.2052,21.2052
3.6,11.1952,12.2963,14.2554,18.5597,21.2052,21.2052
3.7,11.8816,13.0971,15.1134,19.7752,22.7782,22.7782
3.8,11.8816,13.0971,15.1134,19.7752,22.7782,22.7782
3.9,11.8816,13.0971,15.1134,19.7752,22.7782,22.7782
4.0,11.8816,13.0971,15.1134,19.7752,22.7782,22.7782
4.1,12.5966,13.9122,15.9714,20.9907,24.3512,24.3512
4.2,12.5966,13.9122,15.9714,20.9907,24.3512,24.3512
4.3,12.5966,13.9122,15.9714,20.9907,24.3512,24.3512
4.4,12.5966,13.9122,15.9714,20.9907,24.3512,24.3512
4.5,12.5966,13.9122,15.9714,20.9907,24.3512,24.3512
4.6,13.3402,14.7559,16.8294,22.2062,25.9099,25.9099
4.7,13.3402,14.7559,16.8294,22.2062,25.9099,25.9099
4.8,13.3402,14.7559,16.8294,22.2062,25.9099,25.9099
4.9,13.3402,14.7559,16.8294,22.2062,25.9099,25.9099
5.0,14.0552,15.571,17.716,23.4503,27.4686,27.4686
5.1,14.0552,15.571,17.716,23.4503,27.4686,27.4686
5.2,14.0552,15.571,17.716,23.4503,27.4686,27.4686
5.3,14.0552,15.571,17.716,23.4503,27.4686,27.4686
5.4,14.0552,15.571,17.716,23.4503,27.4686,27.4686
5.5,14.7559,16.3575,18.6026,24.6944,29.0416,29.0416
5.6,14.7559,16.3575,18.6026,24.6944,29.0416,29.0416
5.7,14.7559,16.3575,18.6026,24.6944,29.0416,29.0416
5.8,14.7559,16.3575,18.6026,24.6944,29.0416,29.0416
5.9,15.3851,17.0725,19.4892,25.9671,30.6146,30.6146
6.0,15.3851,17.0725,19.4892,25.9671,30.6146,30.6146
6.1,15.3851,17.0725,19.4892,25.9671,30.6146,30.6146
6.2,15.3851,17.0725,19.4892,25.9671,30.6146,30.6146
6.3,15.3851,17.0725,19.4892,25.9671,30.6146,30.6146
6.4,15.9428,17.716,20.3758,27.2112,32.159,32.159
6.5,15.9428,17.716,20.3758,27.2112,32.159,32.159
6.6,15.9428,17.716,20.3758,27.2112,32.159,32.159
6.7,15.9428,17.716,20.3758,27.2112,32.159,32.159
6.8,15.9428,17.716,20.3758,27.2112,32.159,32.159
6.9,16.4147,18.2737,21.2338,28.4124,33.6605,33.6605
7.0,16.4147,18.2737,21.2338,28.4124,33.6605,33.6605
7.1,16.4147,18.2737,21.2338,28.4124,33.6605,33.6605
7.2,16.4147,18.2737,21.2338,28.4124,33.6605,33.6605
7.3,16.9009,18.8457,21.863,29.299,34.8045,34.8045
7.4,16.9009,18.8457,21.863,29.299,34.8045,34.8045
7.5,16.9009,18.8457,21.863,29.299,34.8045,34.8045
7.6,16.9009,18.8457,21.863,29.299,34.8045,34.8045
7.7,16.9009,18.8457,21.863,29.299,34.8045,34.8045
7.8,17.4157,19.432,22.5637,30.3,36.0772,36.0772
7.9,17.4157,19.432,22.5637,30.3,36.0772,36.0772
8.0,17.4157,19.432,22.5637,30.3,36.0772,36.0772
8.1,17.4157,19.432,22.5637,30.3,36.0772,36.0772
8.2,17.9162,20.004,23.2501,31.2724,37.307,37.307
8.3,17.9162,20.004,23.2501,31.2724,37.307,37.307
8.4,17.9162,20.004,23.2501,31.2724,37.307,37.307
8.5,17.9162,20.004,23.2501,31.2724,37.307,37.307
8.6,17.9162,20.004,23.2501,31.2724,37.307,37.307
8.7,18.4024,20.5617,23.9222,32.2162,38.4939,38.4939
8.8,18.4024,20.5617,23.9222,32.2162,38.4939,38.4939
8.9,18.4024,20.5617,23.9222,32.2162,38.4939,38.4939
9.0,18.4024,20.5617,23.9222,32.2162,38.4939,38.4939
9.1,21.6771,22.8354,28.3981,42.3406,47.8604,47.8604
9.2,21.6771,22.8354,28.3981,42.3406,47.8604,47.8604
9.3,21.6771,22.8354,28.3981,42.3406,47.8604,47.8604
9.4,21.6771,22.8354,28.3981,42.3406,47.8604,47.8604
9.5,21.6771,22.8354,28.3981,42.3406,47.8604,47.8604
9.6,23.722,25.7383,32.2591,49.0616,55.3965,55.3965
9.7,23.722,25.7383,32.2591,49.0616,55.3965,55.3965
9.8,23.722,25.7383,32.2591,49.0616,55.3965,55.3965
9.9,23.722,25.7383,32.2591,49.0616,55.3965,55.3965
10.0,25.9528,28.9844,36.592,56.7836,64.0766,64.0766
10.1,25.9528,28.9844,36.592,56.7836,64.0766,64.0766
10.2,25.9528,28.9844,36.592,56.7836,64.0766,64.0766
10.3,25.9528,28.9844,36.592,56.7836,64.0766,64.0766
10.4,25.9528,28.9844,36.592,56.7836,64.0766,64.0766
10.5,28.3552,32.588,41.4683,65.6639,74.0437,74.0437
10.6,28.3552,32.588,41.4683,65.6639,74.0437,74.0437
10.7,28.3552,32.588,41.4683,65.6639,74.0437,74.0437
10.8,28.3552,32.588,41.4683,65.6639,74.0437,74.0437
10.9,30.9721,36.6206,46.9595,75.8741,85.5266,85.5266
11.0,30.9721,36.6206,46.9595,75.8741,85.5266,85.5266
11.1,30.9721,36.6206,46.9595,75.8741,85.5266,85.5266
11.2,30.9721,36.6206,46.9595,75.8741,85.5266,85.5266
11.3,30.9721,36.6206,46.9595,75.8741,85.5266,85.5266
11.4,37.307,48.3037,63.0041,94.5642,108.235,108.235
11.5,37.307,48.3037,63.0041,94.5642,108.235,108.235
11.6,37.307,48.3037,63.0041,94.5642,108.235,108.235
11.7,37.307,48.3037,63.0041,94.5642,108.235,108.235
11.8,39.1374,51.4354,68.9672,97.0238,112.3534,112.3534
11.9,39.1374,51.4354,68.9672,97.0238,112.3534,112.3534
12.0,39.1374,51.4354,68.9672,97.0238,112.3534,112.3534
12.1,39.1374,51.4354,68.9672,97.0238,112.3534,112.3534
12.2,39.1374,51.4354,68.9672,97.0238,112.3534,112.3534
12.3,39.6951,52.9941,70.8548,99.4119,116.9437,116.9437
12.4,39.6951,52.9941,70.8548,99.4119,116.9437,116.9437
12.5,39.6951,52.9941,70.8548,99.4119,116.9437,116.9437
12.6,39.6951,52.9941,70.8548,99.4119,116.9437,116.9437
12.7,39.6951,52.9941,70.8548,99.4119,116.9437,116.9437
12.8,40.1384,54.5099,71.8415,101.8143,120.3185,120.3185
12.9,40.1384,54.5099,71.8415,101.8143,120.3185,120.3185
13.0,40.1384,54.5099,71.8415,101.8143,120.3185,120.3185
13.1,40.1384,54.5099,71.8415,101.8143,120.3185,120.3185
13.2,40.7676,55.8541,72.8711,104.1738,122.9497,122.9497
13.3,40.7676,55.8541,72.8711,104.1738,122.9497,122.9497
13.4,40.7676,55.8541,72.8711,104.1738,122.9497,122.9497
13.5,40.7676,55.8541,72.8711,104.1738,122.9497,122.9497
13.6,40.7676,55.8541,72.8711,104.1738,122.9497,122.9497
13.7,41.1966,56.7836,73.8435,106.5905,125.8669,125.8669
13.8,41.1966,56.7836,73.8435,106.5905,125.8669,125.8669
13.9,41.1966,56.7836,73.8435,106.5905,125.8669,125.8669
14.0,41.1966,56.7836,73.8435,106.5905,125.8669,125.8669
14.1,42.1404,57.7846,74.7444,109.0072,128.1978,128.1978
14.2,42.1404,57.7846,74.7444,109.0072,128.1978,128.1978
14.3,42.1404,57.7846,74.7444,109.0072,128.1978,128.1978
14.4,42.1404,57.7846,74.7444,109.0072,128.1978,128.1978
14.5,42.1404,57.7846,74.7444,109.0072,128.1978,128.1978
14.6,43.3988,59.3004,75.774,111.3667,130.9005,130.9005
14.7,43.3988,59.3004,75.774,111.3667,130.9005,130.9005
14.8,43.3988,59.3004,75.774,111.3667,130.9005,130.9005
14.9,43.3988,59.3004,75.774,111.3667,130.9005,130.9005
15.0,44.6143,60.8877,77.49,113.7691,133.5317,133.5317
15.1,44.6143,60.8877,77.49,113.7691,133.5317,133.5317
15.2,44.6143,60.8877,77.49,113.7691,133.5317,133.5317
15.3,44.6143,60.8877,77.49,113.7691,133.5317,133.5317
15.4,44.6143,60.8877,77.49,113.7691,133.5317,133.5317
15.5,45.7297,61.8029,79.206,116.1572,135.6338,135.6338
15.6,45.7297,61.8029,79.206,116.1572,135.6338,135.6338
15.7,45.7297,61.8029,79.206,116.1572,135.6338,135.6338
15.8,45.7297,61.8029,79.206,116.1572,135.6338,135.6338
15.9,47.1597,62.6609,80.9935,117.8017,138.1077,138.1077
16.0,47.1597,62.6609,80.9935,117.8017,138.1077,138.1077
16.1,47.1597,62.6609,80.9935,117.8017,138.1077,138.1077
16.2,47.1597,62.6609,80.9935,117.8017,138.1077,138.1077
16.3,47.1597,62.6609,80.9935,117.8017,138.1077,138.1077
